Date,Product,Category,Region,Salesperson,Quantity,Unit_Price,Total_Sales
2024-01-08,Tablet,Electronics,North,John,1,200,200
2024-04-05,Tablet,Electronics,West,Maria,4,500,2000
2024-05-24,Headphones,Accessories,South,Maria,3,50,150
2024-04-07,Smartwatch,Accessories,South,Sara,10,100,1000
2024-04-28,Phone,Electronics,East,Sara,5,50,250
2024-03-14,Headphones,Accessories,South,Alex,8,200,1600
2024-03-17,Smartwatch,Accessories,West,John,8,200,1600
2024-04-08,Phone,Electronics,West,Alex,4,300,1200
2024-04-01,Smartwatch,Accessories,East,John,1,300,300
2024-01-03,Tablet,Electronics,North,Daniel,8,200,1600
2024-06-04,Phone,Electronics,East,Maria,4,500,2000
2024-06-22,Tablet,Electronics,South,Alex,1,200,200
2024-01-09,Headphones,Accessories,East,Maria,2,200,400
2024-04-16,Tablet,Electronics,South,Maria,3,500,1500
2024-05-15,Tablet,Electronics,East,Maria,5,300,1500
2024-03-27,Tablet,Electronics,North,Sara,2,100,200
2024-06-22,Phone,Electronics,West,Daniel,6,50,300
2024-01-04,Headphones,Accessories,East,Daniel,2,300,600
2024-06-21,Tablet,Electronics,East,Daniel,7,200,1400
2024-06-21,Laptop,Electronics,South,Sara,1,500,500
2024-03-24,Smartwatch,Accessories,South,Alex,8,200,1600
2024-01-30,Headphones,Accessories,South,Alex,1,200,200
2024-01-30,Headphones,Accessories,North,Maria,9,100,900
2024-04-26,Headphones,Accessories,East,Daniel,7,500,3500
2024-04-16,Phone,Electronics,North,Sara,10,300,3000
2024-01-09,Tablet,Electronics,East,Maria,8,300,2400
2024-04-02,Phone,Electronics,North,John,9,200,1800
2024-04-11,Laptop,Electronics,East,Maria,2,300,600
2024-06-18,Laptop,Electronics,South,Daniel,1,50,50
2024-03-03,Tablet,Electronics,South,Daniel,4,50,200
2024-02-23,Smartwatch,Accessories,South,Maria,6,100,600
2024-01-01,Smartwatch,Accessories,East,Maria,3,500,1500
2024-02-14,Tablet,Electronics,North,Alex,3,50,150
2024-03-01,Tablet,Electronics,East,Alex,3,200,600
2024-02-02,Laptop,Electronics,West,Daniel,2,50,100
2024-04-24,Headphones,Accessories,East,Daniel,10,50,500
2024-05-08,Headphones,Accessories,South,Daniel,1,500,500
2024-04-27,Tablet,Electronics,North,Alex,8,300,2400
2024-06-24,Headphones,Accessories,North,Sara,8,50,400
2024-03-23,Laptop,Electronics,South,Alex,3,200,600
2024-06-11,Smartwatch,Accessories,East,Sara,10,500,5000
2024-04-26,Tablet,Electronics,West,Alex,2,500,1000
2024-04-20,Phone,Electronics,West,Maria,7,200,1400
2024-04-12,Headphones,Accessories,West,Alex,6,300,1800
2024-06-19,Tablet,Electronics,East,John,3,300,900
2024-01-24,Laptop,Electronics,North,Alex,7,50,350
2024-02-03,Tablet,Electronics,North,Daniel,9,500,4500
2024-06-20,Tablet,Electronics,North,Sara,6,300,1800
2024-03-14,Laptop,Electronics,East,John,2,500,1000
2024-02-24,Smartwatch,Accessories,South,Sara,4,50,200
2024-05-22,Tablet,Electronics,East,Alex,5,500,2500
2024-04-19,Phone,Electronics,North,Daniel,5,50,250
2024-03-10,Phone,Electronics,East,John,6,50,300
2024-02-06,Phone,Electronics,West,Alex,3,50,150
2024-05-15,Laptop,Electronics,South,Sara,7,300,2100
2024-02-10,Tablet,Electronics,East,John,6,500,3000
2024-01-22,Smartwatch,Accessories,North,Maria,3,500,1500
2024-06-21,Laptop,Electronics,North,John,8,300,2400
2024-06-04,Headphones,Accessories,West,Sara,5,100,500
2024-01-30,Smartwatch,Accessories,East,Sara,2,200,400
2024-05-04,Smartwatch,Accessories,East,Alex,4,300,1200
2024-01-15,Smartwatch,Accessories,North,Maria,5,100,500
2024-03-06,Phone,Electronics,East,John,2,50,100
2024-04-20,Headphones,Accessories,South,Maria,7,500,3500
2024-05-08,Phone,Electronics,East,Alex,7,50,350
2024-01-05,Headphones,Accessories,West,Alex,6,500,3000
2024-05-26,Headphones,Accessories,West,Sara,5,50,250
2024-01-06,Headphones,Accessories,East,Maria,10,300,3000
2024-01-23,Tablet,Electronics,West,Alex,4,300,1200
2024-04-12,Smartwatch,Accessories,North,Sara,5,200,1000
2024-03-26,Phone,Electronics,South,Alex,9,50,450
2024-05-10,Smartwatch,Accessories,South,John,6,100,600
2024-01-27,Phone,Electronics,South,John,4,100,400
2024-02-09,Smartwatch,Accessories,North,Maria,8,300,2400
2024-05-28,Smartwatch,Accessories,West,Daniel,10,200,2000
2024-02-08,Tablet,Electronics,West,Alex,8,300,2400
